count,superkingdom,phylum,class,order,family,genus,species,strain,filename,sig_name,sig_md5,total_counts
430,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__RUG115,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
279,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Enterocloster,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
267,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__Blautia_A faecis,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
257,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__Blautia_A sp900120195,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
248,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Dialister,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
248,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
248,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Veillonellales,,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
248,d__Bacteria,p__Bacillota_C,c__Negativicutes,,,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
248,d__Bacteria,p__Bacillota_C,,,,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
234,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Limivivens,s__Limivivens sp900066135,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
234,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Limivivens,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
223,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Fimivicinus,s__Fimivicinus sp900544375,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
223,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Fimivicinus,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
325,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
199,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides fragilis_A,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
197,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger formicilis,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
197,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
196,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__Limisoma,s__Limisoma sp000437795,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
196,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__Limisoma,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
